Title,Body,Labels,Milestone
[BOOT-001] 현재 repo 구조와 Phase 3 산출물을 대조하고 누락 파일 목록을 작성한다.,"Area: Bootstrap
Priority: P0
Target: repo/docs
Dependencies: 없음

Description:
현재 repo 구조와 Phase 3 산출물을 대조하고 누락 파일 목록을 작성한다.

Acceptance:
docs/dev/source-lock.md 생성

Codex Batch: Batch 00","phase4,p0,bootstrap",MVP v1.0
"[BOOT-002] pnpm-workspace.yaml, turbo.json, package scripts, tsconfig b","Area: Bootstrap
Priority: P0
Target: root
Dependencies: BOOT-001

Description:
pnpm-workspace.yaml, turbo.json, package scripts, tsconfig base를 생성한다.

Acceptance:
pnpm install 후 workspace 인식

Codex Batch: Batch 01","phase4,p0,bootstrap",MVP v1.0
"[BOOT-003] postgres, redis, minio, api용 docker-compose.yml을 만든다.","Area: Bootstrap
Priority: P0
Target: infra/docker
Dependencies: BOOT-002

Description:
postgres, redis, minio, api용 docker-compose.yml을 만든다.

Acceptance:
docker compose up -d 성공

Codex Batch: Batch 01","phase4,p0,bootstrap",MVP v1.0
[BOOT-004] .env.example과 scripts/check-env.ts를 작성한다.,"Area: Bootstrap
Priority: P0
Target: root
Dependencies: BOOT-002

Description:
.env.example과 scripts/check-env.ts를 작성한다.

Acceptance:
필수 env 누락 시 명확한 오류

Codex Batch: Batch 01","phase4,p0,bootstrap",MVP v1.0
"[BOOT-005] lint, typecheck, unit test, build dry-run CI를 구성한다.","Area: Bootstrap
Priority: P0
Target: .github/workflows
Dependencies: BOOT-002

Description:
lint, typecheck, unit test, build dry-run CI를 구성한다.

Acceptance:
PR에서 CI가 실행됨

Codex Batch: Batch 01","phase4,p0,bootstrap",MVP v1.0
[DOC-001] Do Not Change 계약을 repo에 복사하고 README에서 참조한다.,"Area: Documentation
Priority: P0
Target: docs/dev
Dependencies: BOOT-001

Description:
Do Not Change 계약을 repo에 복사하고 README에서 참조한다.

Acceptance:
변경 금지 항목이 문서화됨

Codex Batch: Batch 00","phase4,p0,documentation",MVP v1.0
"[DOMAIN-001] auth_provider, member_role, child_stage_code, item_status 등 ","Area: Domain
Priority: P0
Target: packages/domain
Dependencies: BOOT-002

Description:
auth_provider, member_role, child_stage_code, item_status 등 enum을 고정한다.

Acceptance:
API/mobile/admin이 동일 enum import

Codex Batch: Batch 02","phase4,p0,domain",MVP v1.0
[DOMAIN-002] 임신 주차/출생 후 개월/수동 단계 계산기를 구현한다.,"Area: Domain
Priority: P0
Target: packages/domain
Dependencies: DOMAIN-001

Description:
임신 주차/출생 후 개월/수동 단계 계산기를 구현한다.

Acceptance:
BR-002/003/004 테스트 통과

Codex Batch: Batch 02","phase4,p0,domain",MVP v1.0
[DOMAIN-003] 추천 점수 계산기를 구현한다. 수수료율은 점수 변수로 사용하지 않는다.,"Area: Domain
Priority: P0
Target: packages/domain
Dependencies: DOMAIN-001

Description:
추천 점수 계산기를 구현한다. 수수료율은 점수 변수로 사용하지 않는다.

Acceptance:
BR-301~305 테스트 통과

Codex Batch: Batch 02","phase4,p0,domain",MVP v1.0
"[DOMAIN-004] 원화 금액, Asia/Seoul 월 경계, 날짜 제한 유틸을 구현한다.","Area: Domain
Priority: P0
Target: packages/domain
Dependencies: DOMAIN-001

Description:
원화 금액, Asia/Seoul 월 경계, 날짜 제한 유틸을 구현한다.

Acceptance:
월 경계/미래 날짜 테스트 통과

Codex Batch: Batch 02","phase4,p0,domain",MVP v1.0
